$time_nulls
       [,1]   [,2]  [,3]  [,4]  [,5]
 [1,] 0.992 65.721 1.354 0.214 0.203
 [2,] 1.104 66.177 1.404 0.237 0.200
 [3,] 1.469 63.737 1.694 0.210 0.197
 [4,] 1.094 66.869 1.426 0.210 0.199
 [5,] 1.027 68.606 1.398 0.250 0.214
 [6,] 1.082 68.078 1.507 0.213 0.205
 [7,] 1.176 66.945 1.723 0.224 0.196
 [8,] 1.070 67.468 1.344 0.208 0.197
 [9,] 1.014 65.924 1.312 0.209 0.198
[10,] 1.311 67.054 1.644 0.217 0.204

$time_measures
       [,1]  [,2]  [,3]  [,4]  [,5]  [,6]
 [1,] 1.474 0.247 0.018 1.129 7.009 0.066
 [2,] 1.562 0.247 0.019 1.149 7.470 0.067
 [3,] 1.664 0.246 0.019 1.165 7.829 0.066
 [4,] 1.511 0.265 0.018 1.125 7.432 0.067
 [5,] 1.534 0.248 0.018 1.241 7.269 0.069
 [6,] 1.761 0.262 0.020 1.315 7.605 0.062
 [7,] 1.727 0.247 0.017 1.162 7.698 0.065
 [8,] 1.559 0.235 0.018 1.224 7.789 0.076
 [9,] 1.482 0.238 0.017 1.144 7.092 0.064
[10,] 1.489 0.234 0.018 1.135 7.676 0.068
